topic,primary_subject,question_count,years_seen,year_list,recurrence,recent_count,years_since_last,due_for_return,importance_score,priority_band
Glaucoma,Ophthalmology,93,13,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",0.812,2,1,True,82.1,Must
Pharmacokinetics,Pharmacology,57,13,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2022,2024",0.812,1,1,True,82.1,Must
Adverse Drug Reactions,Pharmacology,39,13,"2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2024",0.812,1,1,True,82.1,Must
Joints & Arthritis,Anatomy,99,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2023,2024,2025",0.875,7,0,False,82.0,Must
Amino Acid Metabolism,Biochemistry,83,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024,2025",0.875,6,0,False,82.0,Must
Nose & PNS,ENT,60,14,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024,2025",0.875,4,0,False,81.9,Must
Protein Metabolism,Biochemistry,59,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024,2025",0.875,4,0,False,81.9,Must
Head and Neck,Anatomy,140,14,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024,2025",0.875,8,0,False,81.8,Must
Otology,ENT,122,14,"2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2024,2025",0.875,7,0,False,81.8,Must
Peripheral Nerves,Anatomy,48,13,"2010,2011,2012,2013,2014,2016,2018,2019,2020,2021,2022,2024,2025",0.812,11,0,False,81.7,Must
Environmental Health,Community Medicine,78,14,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024,2025",0.875,3,0,False,81.6,Must
Cell Injury & Death,Pathology,83,13,"2010,2012,2013,2014,2015,2016,2018,2019,2020,2021,2023,2024,2025",0.812,16,0,False,81.3,Must
Immunopathology,Pathology,95,13,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024,2025",0.812,15,0,False,81.0,Must
Critical Care,Medicine,21,12,"2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024",0.75,2,1,True,81.0,Must
Congenital Anomalies,Pediatrics,40,13,"2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2024,2025",0.812,5,0,False,80.6,Must
Cranial nerves,Anatomy,36,12,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2024",0.75,2,1,True,80.6,Must
Biomedical Waste Management,Community Medicine,25,11,"2011,2012,2013,2014,2015,2016,2017,2018,2020,2021,2022",0.688,0,3,True,80.6,Must
Abdominal Anatomy,Anatomy,22,12,"2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2022,2024",0.75,1,1,True,80.5,Must
Neurophysiology,Physiology,120,12,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2022,2023,2024",0.75,5,1,True,80.4,Must
Identification,Forensic Medicine,27,12,"2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2022,2024",0.75,1,1,True,80.4,Must
Head And Neck,Anatomy,74,13,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2022,2023,2024,2025",0.812,6,0,False,80.2,Must
Demography & Family Planning,Community Medicine,73,12,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",0.75,1,1,True,80.1,Must
Tuberculosis,Community Medicine,89,13,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2022,2024,2025",0.812,6,0,False,80.0,Must
Genetic disorders,Pathology,30,12,"2010,2012,2013,2014,2015,2016,2018,2019,2020,2022,2024,2025",0.75,5,0,False,79.2,Must
Menstrual Disorders,OBG,35,12,"2011,2012,2013,2014,2015,2016,2017,2019,2020,2023,2024,2025",0.75,5,0,False,78.9,Must
Vasculitis,Pathology,41,10,"2012,2013,2014,2015,2016,2017,2018,2020,2021,2022",0.625,0,3,True,78.8,Must
HIV/AIDS,Medicine,23,10,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2022",0.625,0,3,True,78.8,Must
