recent_count,older_count,recent_share,older_share,delta_share,topic
4.0,8.0,0.000662471016893011,0.00022762191999089513,0.00043484909690211584,Maternal Health
4.0,8.0,0.000662471016893011,0.00022762191999089513,0.00043484909690211584,Pituitary Disorders
5.0,14.0,0.0008280887711162637,0.00039833835998406646,0.0004297504111321972,Postmortem Changes
3.0,3.0,0.0004968532626697582,8.535821999658566e-05,0.00041149504267317256,Terminology
3.0,3.0,0.0004968532626697582,8.535821999658566e-05,0.00041149504267317256,Epistaxis
3.0,3.0,0.0004968532626697582,8.535821999658566e-05,0.00041149504267317256,Special Senses
3.0,3.0,0.0004968532626697582,8.535821999658566e-05,0.00041149504267317256,Medical Ethics
4.0,9.0,0.000662471016893011,0.00025607465998975703,0.0004063963569032539,Electron Transport Chain
5.0,15.0,0.0008280887711162637,0.00042679109998292834,0.0004012976711333353,Uterine Anomalies
3.0,4.0,0.0004968532626697582,0.00011381095999544757,0.0003830423026743107,Heavy Metal Poisoning
3.0,4.0,0.0004968532626697582,0.00011381095999544757,0.0003830423026743107,Rickets
5.0,16.0,0.0008280887711162637,0.00045524383998179026,0.0003728449311344734,Critical Care
7.0,28.0,0.0011593242795627692,0.0007966767199681329,0.00036264755959463627,Menstrual Disorders
7.0,28.0,0.0011593242795627692,0.0007966767199681329,0.00036264755959463627,Ultrasound
3.0,5.0,0.0004968532626697582,0.00014226369999430945,0.00035458956267544876,Asphyxia
3.0,5.0,0.0004968532626697582,0.00014226369999430945,0.00035458956267544876,Genetic Syndromes
3.0,5.0,0.0004968532626697582,0.00014226369999430945,0.00035458956267544876,Glycogen Storage Diseases
3.0,5.0,0.0004968532626697582,0.00014226369999430945,0.00035458956267544876,Ear Anatomy
3.0,5.0,0.0004968532626697582,0.00014226369999430945,0.00035458956267544876,Postpartum Complications
3.0,5.0,0.0004968532626697582,0.00014226369999430945,0.00035458956267544876,International Health
3.0,5.0,0.0004968532626697582,0.00014226369999430945,0.00035458956267544876,Pediatric surgery
3.0,5.0,0.0004968532626697582,0.00014226369999430945,0.00035458956267544876,Immunopharmacology
3.0,5.0,0.0004968532626697582,0.00014226369999430945,0.00035458956267544876,Visual Field Defects
4.0,11.0,0.000662471016893011,0.0003129801399874808,0.00034949087690553017,Sensory Physiology
4.0,11.0,0.000662471016893011,0.0003129801399874808,0.00034949087690553017,Asthma
4.0,11.0,0.000662471016893011,0.0003129801399874808,0.00034949087690553017,Research Methodology
5.0,17.0,0.0008280887711162637,0.00048369657998065214,0.0003443921911356115,Anticoagulants
5.0,17.0,0.0008280887711162637,0.00048369657998065214,0.0003443921911356115,Public Health Programs
11.0,52.0,0.00182179529645578,0.0014795424799408183,0.0003422528165149617,Ear
6.0,23.0,0.0009937065253395165,0.0006544130199738234,0.00033929350536569304,Personality Disorders
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Coronary Artery Disease
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Health Services Evaluation
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Allied Health Disciplines
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Surgical Principles
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Plain Radiography
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Health Program Evaluation
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Autoimmune Liver Disease
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Lymphoproliferative Disorders
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Health Care Of The Community In India
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Amniotic Band Syndrome
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Biliary Stones
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Bias in Screening
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Head and Neck Pathology
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Bias In Screening
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Thiazide Diuretics
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Biologics
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Gestational Age Calculation
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Lead poisoning
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Fundoscopy
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Mutation
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Chemotherapy Of Specific Microbial Diseases
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Foreign body airway obstruction
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Foreign bodies
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,High altitude physiology
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Foreign Bodies
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Cellular Aging
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Coagulation monitoring
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Cochlear Implants
2.0,0.0,0.0003312355084465055,0.0,0.0003312355084465055,Collagen Metabolism
